DATE,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK
2019-06-28,1.420585707487197,1.30708,0.9682409999999999,0.8732480461074967,0.7845435506009014,107.176,8.511849999999999,1.4858366337479558,9.2234675
2019-06-27,1.4232626588539035,1.307555,0.9688795,0.8732568156602892,0.7861814459606391,107.066,8.4952,1.490062031282362,9.218164
2019-06-26,1.4277025695790848,1.309928,0.969653,0.8729774204390204,0.7846734444143217,107.0038,8.471368,1.4947102205295462,9.201342499999999
2019-06-25,1.4328443751902997,1.3145375,0.967292,0.8732007698137988,0.7848474217369773,106.463,8.511267,1.5044844921499758,9.219372
2019-06-24,1.432640126530776,1.315845,0.964127,0.8710903830315078,0.7822002510862806,106.5575,8.464735000000001,1.5087166102155203,9.22215
2019-06-21,1.4403286253791665,1.3200415,0.9684440000000001,0.8733662592413067,0.7816667871736296,106.59995,8.476703,1.515011491362162,9.2917
2019-06-20,1.4406336483038698,1.3171575,0.9737445,0.8793276660665255,0.784037006546709,106.5512,8.53055,1.5164036969922132,9.350602
2019-06-19,1.4490968503879955,1.3262525,0.9853495,0.8839540679787198,0.7877765440321791,107.3245,8.678,1.5272655074721464,9.431035999999999
2019-06-18,1.4504683199588067,1.33527,0.9919205,0.8866942221674441,0.7931421754938104,107.7238,8.7152565,1.5286078967883947,9.461535000000001
2019-06-17,1.4553244500328901,1.33879,0.99053,0.8846633435762603,0.7944635424652681,107.8004,8.709634,1.5366530160657073,9.41656
2019-06-14,1.4511671374494721,1.338889,0.990839,0.8855980066960066,0.7908261008991297,107.81935,8.694949999999999,1.5375508352744913,9.424137
2019-06-13,1.4426267347586488,1.3301405000000002,0.985676,0.8798127406562788,0.7856687730446471,107.64065,8.6517,1.5200802602377406,9.419820000000001
2019-06-12,1.439366678661389,1.331257,0.9871135,0.8792178829400519,0.7845136995704788,107.7423,8.6365,1.5181752141196367,9.4083375
2019-06-11,1.433054843008842,1.3259205,0.9843664999999999,0.8758879861889983,0.7829115462620475,107.815,8.6031,1.5165462781679515,9.385494
2019-06-10,1.4331031053194638,1.324454,0.981379,0.8774007879059075,0.7845401653183036,107.6885,8.627400000000002,1.5104485276902977,9.353593
2019-06-07,1.4255086214761425,1.324353,0.9796185,0.875930566735836,0.7818265971153726,107.44695,8.6019345,1.497597853043718,9.335131
2019-06-06,1.429911459882404,1.3337845,0.983036,0.8800686453543377,0.7843331031315676,107.617,8.665825,1.5069137201480391,9.354193
2019-06-05,1.4310758112411004,1.3391345000000001,0.9859535,0.8843007436084952,0.7847621170213726,107.6806,8.716128999999999,1.508252403023141,9.381233
2019-06-04,1.4265945760874215,1.336945,0.983935,0.8818451021441183,0.7839251445557968,107.36949999999999,8.668246,1.5099467743762034,9.376570000000001
2019-06-03,1.4295782601174827,1.341105,0.98417,0.8827566725369986,0.7862111149810168,107.3056,8.678109,1.5127769138140739,9.379555
2019-05-31,1.4364926595225098,1.3483610000000001,0.9924200000000001,0.8885216332804663,0.7873432989999166,107.5113,8.729505,1.5269273640652914,9.432255999999999
2019-05-30,1.4431076457286178,1.34775,0.9990494999999999,0.8911802122345676,0.7896293243062908,108.8212,8.7444,1.5328841982632422,9.4743735
