,CAD,CHF,EUR,GBP,JPY,NOK,SEK
2017-08-01,,,,,,,
2017-09-01,,,,,,,
2017-11-01,,,,,,,
2017-12-01,,,,,,,
2018-01-01,,,,,,,
2018-02-01,-2.6902360098685896,-2.692981018382214,-1.4426294320669015,0.07269303648465963,-1.857686549530638,-3.3165279836899044,-1.6683350107666888
2018-03-01,0.06682902932649663,-2.1656784806404685,-0.47835735212310226,0.9566292532189726,-2.2124695850041753,-2.092734757002146,0.09909861832586893
2018-05-01,0.42947260772835744,1.95870130578181,0.18350362475825618,0.8361262442872278,0.7350226498857775,-0.16935545183024156,1.4338840217053996
2018-06-01,0.5666885876879554,1.4571837181250524,0.8248440179333635,0.8975639167902817,0.7533117913607761,0.11291719797810547,1.16770413130041
2018-08-01,0.23401986488714657,1.8274548666622623,0.4058884341314848,0.6944834295117379,1.2206858539694092,-0.47778465538378156,1.0737536407776453
2018-10-01,-0.23077718854990065,1.3414243237806773,0.28404339452237104,0.7407302090547939,2.2179366935419824,-0.5642076789183463,1.2589575644022415
2018-11-01,1.0144851546044305,2.2018047216045664,0.6918115642270395,0.5201620801986018,1.4531156779371843,0.022430783974216665,1.209932316110691
2019-01-01,1.684554288611906,0.7570864233278064,0.6844615206281239,0.9064442664474333,-0.37472416852404106,1.375464169932426,0.6812537350074215
2019-02-01,0.25818405789428917,1.6404526583729053,0.6386663887516587,0.2807106449874995,-0.2514631287356321,0.26816938014956143,0.9762488639366608
2019-03-01,0.6784017369530098,1.8813718521550222,0.9783003853667215,0.23860364591763839,1.816219909663309,1.1991251973195132,1.33520886228439
2019-04-01,0.691741250504227,1.94983250260985,0.9630658160170351,0.424719215085924,1.330526511042129,1.2556911343980814,1.054733188097821
2019-05-01,0.7071565573845144,2.6160347284558325,1.0134129152118223,0.5071792503146813,1.5793477865111065,1.6333068629061744,1.1961429849100182
